County,Origin,Map
Jones County,1854,931 sq mi
Karnes County,1854,750 sq mi
Kaufman County,1848,786 sq mi
Kendall County,1862,662 sq mi
Kenedy County,1921,"1,457 sq mi"
Kent County,1876,902 sq mi
Kerr County,1856,"1,106 sq mi"
Kimble County,1858,"1,251 sq mi"
King County,1876,912 sq mi
Kinney County,1850,"1,364 sq mi"
Kleberg County,1913,871 sq mi
Knox County,1858,854 sq mi
Lamar County,1840,917 sq mi
Lamb County,1876,"1,016 sq mi"
Lampasas County,1856,712 sq mi
La Salle County,1858,"1,489 sq mi"
Lavaca County,1842,970 sq mi
Lee County,1874,629 sq mi
Leon County,1846,"1,072 sq mi"
Liberty County,1836,"1,160 sq mi"
Limestone County,1846,909 sq mi
Lipscomb County,1876,932 sq mi
Live Oak County,1856,"1,036 sq mi"
Llano County,1856,935 sq mi
Loving County,1887,673 sq mi
Lubbock County,1876,900 sq mi
Lynn County,1876,892 sq mi
McCulloch County,1856,"1,069 sq mi"
McLennan County,1850,"1,042 sq mi"
McMullen County,1858,"1,113 sq mi"
Madison County,1853,470 sq mi
Marion County,1860,381 sq mi
Martin County,1876,915 sq mi
Mason County,1858,932 sq mi
Matagorda County,1836,"1,114 sq mi"
Maverick County,1856,"1,280 sq mi"
Medina County,1848,"1,328 sq mi"
Menard County,1858,902 sq mi
Midland County,1885,900 sq mi
Milam County,1836,"1,017 sq mi"
Mills County,1887,748 sq mi
Mitchell County,1876,910 sq mi
Montague County,1857,931 sq mi
Montgomery County,1837,"1,044 sq mi"
Moore County,1876,900 sq mi
Morris County,1875,254 sq mi
Motley County,1876,989 sq mi
Nacogdoches County,1836,947 sq mi
Navarro County,1846,"1,071 sq mi"
Newton County,1846,933 sq mi
Nolan County,1876,912 sq mi
Nueces County,1846,836 sq mi
Ochiltree County,1876,918 sq mi
Oldham County,1876,"1,501 sq mi"
Orange County,1852,356 sq mi
Palo Pinto County,1856,953 sq mi
Panola County,1846,801 sq mi
Parker County,1855,904 sq mi
Parmer County,1876,882 sq mi
Pecos County,1871,"4,764 sq mi"
Polk County,1846,"1,057 sq mi"
Potter County,1876,909 sq mi
Presidio County,1850,"3,856 sq mi"
Rains County,1870,232 sq mi
Randall County,1876,914 sq mi
Reagan County,1903,"1,175 sq mi"
Real County,1913,700 sq mi
Red River County,1836,"1,050 sq mi"
Reeves County,1883,"2,636 sq mi"
Refugio County,1836,770 sq mi
Roberts County,1876,924 sq mi
Robertson County,1837,855 sq mi
Rockwall County,1873,149 sq mi
Runnels County,1858,"1,054 sq mi"
Rusk County,1843,924 sq mi
Sabine County,1836,490 sq mi
San Augustine County,1836,528 sq mi
San Jacinto County,1870,571 sq mi
San Patricio County,1836,692 sq mi
San Saba County,1856,"1,134 sq mi"
Schleicher County,1887,"1,311 sq mi"
Scurry County,1876,903 sq mi
Shackelford County,1858,914 sq mi
Shelby County,1836,794 sq mi
Sherman County,1876,923 sq mi
Smith County,1846,928 sq mi
Somervell County,1875,187 sq mi
Starr County,1848,"1,223 sq mi"
Stephens County,1858,895 sq mi
Sterling County,1891,923 sq mi
Stonewall County,1876,919 sq mi
Sutton County,1887,"1,454 sq mi"
Swisher County,1876,900 sq mi
Tarrant County,1849,864 sq mi
Taylor County,1858,916 sq mi
Terrell County,1905,"2,358 sq mi"
Terry County,1876,890 sq mi
Throckmorton County,1858,912 sq mi
Titus County,1846,411 sq mi
Tom Green County,1874,"1,522 sq mi"
Travis County,1840,989 sq mi
Trinity County,1850,693 sq mi
Tyler County,1846,923 sq mi
Upshur County,1846,588 sq mi
Upton County,1887,"1,242 sq mi"
Uvalde County,1850,"1,557 sq mi"
Val Verde County,1885,"3,171 sq mi"
Van Zandt County,1848,849 sq mi
Victoria County,1836,883 sq mi
Walker County,1846,788 sq mi
Waller County,1873,514 sq mi
Ward County,1887,836 sq mi
Washington County,1836,609 sq mi
Webb County,1848,"3,357 sq mi"
Wharton County,1846,"1,090 sq mi"
Wheeler County,1876,914 sq mi
Wichita County,1858,628 sq mi
Wilbarger County,1858,971 sq mi
Willacy County,1911,597 sq mi
Williamson County,1848,"1,124 sq mi"
Wilson County,1860,807 sq mi
Winkler County,1887,841 sq mi
Wise County,1856,905 sq mi
Wood County,1850,650 sq mi
Yoakum County,1876,800 sq mi
Young County,1856,922 sq mi
Zapata County,1858,997 sq mi
Zavala County,1846,"1,299 sq mi"
